Date,"System 0-A
(纯规则 S4)","System 1
(纯ML)","System 4
(ML+ATR+BBL+TOCE)","System 5
(完整ARMS)","MA均线交叉
(5/20)",B&H
2020-01-06,1048749.663944323,1112129.3546564584,1001320.0637119457,1022696.8857218105,1443045.124401424,1096135.2382940813
2020-01-07,1042896.470226589,1113254.7000152317,1003354.4039787682,1025376.7327857217,1405314.0324553067,1103988.1397326803
2020-01-08,1034977.102989919,1109711.2295793146,993293.1815150672,1020548.4492004135,1401928.56266482,1092634.2709344844
2020-01-09,1052849.1120260085,1125315.191540923,1001405.7923811706,1026080.7265425323,1381956.6259239272,1105272.1143205513
2020-01-10,1062510.0790020656,1119879.5042477595,1003354.7112437222,1025780.3439489626,1389817.013427792,1105788.5727610225
2020-01-13,1079480.1637491144,1120721.7623745447,1011338.2350197422,1034127.2541922689,1404745.9435903614,1118366.17903492
2020-01-14,1091571.2199548434,1114940.9699992237,1009018.9766739737,1031925.5847324402,1448661.1199408956,1115806.513364063
2020-01-15,1083122.1728675743,1111738.8255016992,1012300.6157906877,1032461.0991193778,1386039.4606149585,1107677.7895308852
2020-01-16,1079265.2686000299,1109632.8642698044,1012088.3874715089,1031806.1070701886,1389418.0667058537,1102416.520445747
2020-01-17,1071290.9401271013,1112020.930185236,1018315.4162700266,1036739.9209301664,1373684.1785850446,1104080.760841567
2020-01-20,1100002.9887193902,1115885.6350647875,1025635.1442636402,1036743.060846751,1389097.659447874,1115676.3783937567
2020-01-21,1082895.4951854139,1103368.6186285273,1019158.9972239156,1032325.7561537717,1394220.178333935,1097644.047891801
2020-01-22,1109956.6563933215,1115728.559517202,1027884.9021695999,1034904.4130695768,1374340.8191686822,1099074.2366217861
2020-01-23,1091724.859367202,1098867.6680764093,1012330.0135801221,1028726.449010816,1388065.5391724114,1065485.2822741768
2020-02-03,986739.3666631938,1051765.7390702358,970284.5442651933,992720.1324722219,1318655.658433107,979462.4824625725
2020-02-04,1052560.1092648658,1059676.9826798611,977855.9021713,1000034.6971921755,1369187.685076859,997655.9494370181
2020-02-05,1101431.4388102938,1065531.0083794384,980943.5978985906,1007563.5609077937,1438454.2573478434,1017174.4805175277
